,fmp_alpha,mom_1m,mom_3m,mom_12m
JPM,0.0,-0.11560007801927696,-0.00854250373680765,0.21981235609323546
JNJ,0.0,-0.3420880525172625,-0.024212210861838113,-0.05892289572821752
V,0.0,-0.029418382619677885,0.19167415940820076,0.18970014006878844
UNH,0.0,-0.20387627214877035,-0.13067619766310878,0.05580638859142506
PG,0.0,0.19559938091269702,0.39342565590900014,0.09866490590552135
MA,0.0,0.34850571312603584,0.28207958929538846,0.17679156784628702
HD,0.0,-0.28029313618808294,-0.29519536166797034,0.08440081225860752
BAC,0.0,-0.6995997095409647,-0.8335122831130333,-0.14426077452548103
CVX,0.0,-0.9330909068853845,-0.12663980293588306,0.001655462844222022
LLY,0.0,2.07135928266591,1.2309915089033776,0.45204258695507593
XOM,0.0,-0.8710808894388005,-0.11030955634240147,0.24548722229117326
AVGO,0.0,0.9332468641849498,0.6008277951278518,0.2616977328720219
